,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
445,"Hoodlums Storm Police Station, Cart Away 14 AK 47 Rifles",4/4/2012,Amichi,Nnewi South,Anambra,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201204050159.html,http://allafrica.com/stories/201204060066.html,http://allafrica.com/stories/201204050250.html,,,"Nnewi South, Anambra, Nigeria"
448,Gunmen Kill Three Policemen in Anambra,4/5/2012,Ukpor,Nnewi South,Anambra,3.0,,,,Other Armed Actor,,,,,,,3.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201204060066.html,http://sunnewsonline.com/webpages/news/national/2012/apr/06/national-06-04-2011-003.html,,,,"Nnewi South, Anambra, Nigeria"
456,Two Killed as SSS Repels Attack On Training School,4/8/2012,,Bauchi,Bauchi,2.0,,State Actor,,,,,,,,2.0,,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201204090331.html,http://allafrica.com/stories/201204090119.html,http://allafrica.com/stories/201204090472.html,,,"Bauchi, Bauchi, Nigeria"
457,"Gunmen attack police station, church, others, left several dead",4/9/2012,Dikwa,Dikwa,Borno,6.0,Boko Haram,State Actor,,,,,,,,3.0,1.0,,,,,,,,2.0,,,,Gun,,,,Targeted Killing,,Government Building,,,Bank,,,,http://allafrica.com/stories/printable/201204100407.html,http://allafrica.com/stories/201204100141.html,http://allafrica.com/stories/201204090744.html,,,"Dikwa, Borno, Nigeria"
458,10 Killed As Gunmen Attack Borno Town,4/10/2012,Banki,Bama,Borno,10.0,Boko Haram,State Actor,,,,,,,,5.0,2.0,,,,,,,,3.0,,,,Gun,,,,,,Government Building,,,,,,5BH/5JTF; attacked Customs/Immigration & police station,http://www.thenigerianvoice.com/nvnews/87313/1/5-killed-in-another-boko-haram-attack-in-borno.html,http://allafrica.com/stories/201204120159.html,http://allafrica.com/stories/201204120730.html,,,"Bama, Borno, Nigeria"
475,"Police Kill Prison Warder in Yenagoa - DPO, Others Arrested",4/15/2012,Kpansia,Yenagoa,Bayelsa,1.0,,State Actor,,,,,,,,,,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,bad policing; IG inspection,http://allafrica.com/stories/201204170198.html,http://www.vanguardngr.com/2012/04/prison-warder-allegedly-killed-by-police-officer-while-celebrating-new-car/,,,,"Yenagoa, Bayelsa, Nigeria"
496,Explosion Rocks Army Barrack,4/25/2012,Bukavu,Kano Municipal,Kano,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201204260060.html,http://allafrica.com/stories/201204260380.html,,,,"Kano Municipal, Kano, Nigeria"
509,"11 Killed, 20 Injured in Taraba Bomb Blast",4/30/2012,Ministry of Finance,Jalingo,Taraba,11.0,Boko Haram,,,,,,,,,,,,,,,,,,11.0,,,Bomb,,,Suicide Bombing,,Targeted Killing,,Government Building,,,,School,,Punch says 2 ASBs targeted convoy of State Commissioner of Police in front of Ministry of Finance,http://allafrica.com/stories/201205010275.html,http://allafrica.com/stories/201204301163.html,http://www.punchng.com/news/blast-shatters-taraba-finance-ministry-building/,,,"Jalingo, Taraba, Nigeria"
517,"Two Killed as Gunmen Attack Prison, Police Station",5/4/2012,Kumshe,Bama,Borno,2.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,set all prisoners free; first attacked Banki and were repelled; AFP alledging BH and bombs,http://allafrica.com/stories/201205060125.html,http://www.thenationonlineng.net/2011/index.php/news-update/45496-gunmen-invade-borno-prison-free-inmates.html,http://www.modernghana.com/news/393263/1/gunmen-kill-seven-in-nigeria-attacks-police.html,,,"Bama, Borno, Nigeria"
524,"Gunmen Storm Police Station, Kill Two Fulani Detainees",5/8/2012,Udege,,Nasarawa,2.0,,,Sectarian Actor,,,,,,,,,2.0,,,,,,,,,,,Gun,,,,Targeted Killing,,Government Building,,,,,,1 report; vigilante group responsible,http://allafrica.com/stories/201205090227.html,,,,,", Nasarawa, Nigeria"
527,"Gunmen Kill Village Head, Four Others",5/11/2012,Rigasa,Igabi,Kaduna,3.0,Boko Haram,,,,,,,,,,2.0,,,1.0,,,,,,,,Bomb,Gun,,,,Targeted Killing,,Government Building,,,Bank,,,night of coordinated attacks across several LGAs,http://allafrica.com/stories/201205140260.html,,,,,"Igabi, Kaduna, Nigeria"
530,Three Killed as Explosion Rocks Bauchi,5/11/2012,Yana,Bisau,Bauchi,6.0,Boko Haram,,,,,,,,,,4.0,,,,,,,,2.0,,,Bomb,,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201205140714.html,http://www.tribune.com.ng/sun/news/7283-six-killed-in-bauchi-attack,,,,"Bisau, Bauchi, Nigeria"
534,Two Killed As Gunmen Attack Police Outpost in Borno,5/12/2012,Mafa,Mafa,Borno,2.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201205140985.html,http://allafrica.com/stories/201205140891.html,,,,"Mafa, Borno, Nigeria"
546,"Gunmen Raid Borno Police Station, Kill One",5/21/2012,Beni sheik,Kaga,Borno,1.0,Boko Haram,,,,,,,,,1.0,,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201205220475.html,http://allafrica.com/stories/201205220684.html,,,,"Kaga, Borno, Nigeria"
572,"Eight Killed, 24 Injured in Maiduguri Twin Bomb Blasts",6/8/2012,Maiduguri,Maiduguri,Borno,8.0,Boko Haram,,,,,,,,,2.0,2.0,,,,,,,,4.0,,,Bomb,,,,,,,Government Building,,,,,Other,,http://allafrica.com/stories/201206100182.html,http://allafrica.com/stories/201206100122.html,http://allafrica.com/stories/201206090022.html,,,"Maiduguri, Borno, Nigeria"
592,Gunmen Kill Police Inspector in Sokoto,6/18/2012,Marina,Sokoto North,Sokoto,2.0,,,,,,Robber,,,,,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,1 report; May have been an attempted jailbreak attempt; similar incident in may,http://allafrica.com/stories/201206190269.html,,,,,"Sokoto North, Sokoto, Nigeria"
601,"Gunmen Attack Damaturu Prison, Free 40 Inmates",6/24/2012,,Damaturu,Yobe,5.0,Boko Haram,,,,,,,,,,5.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,report says others killed in escape but bodies taken by gunmen,http://allafrica.com/stories/201206250460.html,http://allafrica.com/stories/201206240648.html,http://allafrica.com/stories/201206250322.html,,,"Damaturu, Yobe, Nigeria"
604,Robbers Raid Three Banks in Taraba,6/26/2012,Wukari,Wukari,Taraba,3.0,,,,,,Robber,,,,,1.0,,,,,,,,2.0,,,Bomb,Gun,,,,,Drinking Establishment,Government Building,,,Bank,,,"robbed 3 banks, brewery, and police station in attack",http://allafrica.com/stories/201206280292.html,http://www.thenationonlineng.net/2011/index.php/news-update/51819-gunmen-rob-three-banks-in-taraba.html,http://allafrica.com/stories/201206290636.html,,,"Wukari, Taraba, Nigeria"
606,"Police Kill 17 Gunmen, Arrest 3 in Kano Multiple Bomb Blasts",6/27/2012,Dala,Kano Municipal,Kano,17.0,Boko Haram,State Actor,,,,,,,,16.0,1.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,simultaneous attacks in damaturu,http://premiumtimesng.com/metro/5783-corporal_10_others_killed_during_attack_on_kano_formations_polic.html,http://saharareporters.com/news-page/gunfight-erupts-near-dala-police-station-kano,http://allafrica.com/stories/201206270089.html,,,"Kano Municipal, Kano, Nigeria"
608,"Gunmen Attack Police Office, Bank in Adamawa",6/28/2012,Gulak,Madagali,Adamawa,5.0,,,,Other Armed Actor,,,,,,,5.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,"ransacked town, police station and bank",http://allafrica.com/stories/201206290095.html,http://allafrica.com/stories/201206290839.html,http://allafrica.com/stories/201206291122.html,,,"Madagali, Adamawa, Nigeria"
629,Gunmen On the Rampage in Kogi,7/19/2012,Iyara,Ijumu,Kogi,2.0,,,,,,Robber,,,,,2.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201207230859.html,http://allafrica.com/stories/201207230633.html,,,,"Ijumu, Kogi, Nigeria"
635,Five Persons Killed in Maiduguri,7/23/2012,Ganaram,Maiduguri,Borno,5.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,3.0,,,,Gun,,,,,,Government Building,,,,,Other,1 report,http://allafrica.com/stories/201207240264.html,,,,,"Maiduguri, Borno, Nigeria"
638,"Gunmen Kill Four, Set Police Station Ablaze in Borno",7/25/2012,Gubio,Gubio,Borno,4.0,Boko Haram,,,,,,,,,,4.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,burnt police station and lga secretariat,http://allafrica.com/stories/201207270247.html,http://allafrica.com/stories/201207270651.html,,,,"Gubio, Borno, Nigeria"
646,"Two Cops, Six Others Killed in Adamawa",7/30/2012,Mubi,Mubi South,Adamawa,8.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,6.0,,,Bomb,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201208010508.html,,,,,"Mubi South, Adamawa, Nigeria"
649,Suicide Bombers Hit Sokoto Police Stations,7/30/2012,Unguwar Rogo,Sokoto North,Sokoto,5.0,,,,,,,,,,,,,,,,,,,,,,,Gun,,,,,,Government Building,,,,School,,"Assistant Inspector General killed among targeted; Qaqa - """"All praises go to Almighty Allah. This is a very important message from the Jama'atu Ahlis Sunnah Lidda'awati Wal Jihad.

""We wish to extend our profound gratitude to Almighty Allah for giving us the opportunity to fulfill the promise we made on launching spontaneous attacks in Sokoto.

""We are responsible for the attacks in Bauchi and at the residence of Namadi Sambo; the one in Zaria as well as the one in Damaturu where we bombed a patrol vehicle.

""We equally dealt a big blow on JTF operatives in Maiduguri, who out of frustration, went back and killed innocent and defenseless citizens.

""We are also aware of the activities of some women who have been recruited to spy on us. This is a final warning to all of them. By God, whenever we catch any woman spying on us, we would slaughter her like ram.""",http://allafrica.com/stories/201207310308.html,http://allafrica.com/stories/201207310053.html,http://allafrica.com/stories/201207310219.html,,,"Sokoto North, Sokoto, Nigeria"
659,Police in Rivers Kill Three Suspected Kidnappers,8/7/2012,,Port-Harcourt,Rivers,3.0,,State Actor,,,,,,,,,,,,,3.0,,,,,,,,Gun,,,,,,Government Building,,,,,,arrested and then killed; 1 report,http://allafrica.com/stories/201208070351.html,,,,,"Port-Harcourt, Rivers, Nigeria"
683,Gunmen Attack Police Guarding Damaturu Prison,8/22/2012,Gashua Road,Damaturu,Yobe,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201208230224.html,http://www.ngrguardiannews.com/index.php?option=com_content&view=article&id=96547:gunmen-attack-yobe-prison-injure-policemen-civilians&catid=1:national&Itemid=559,http://allafrica.com/stories/201208230250.html,,,"Damaturu, Yobe, Nigeria"
684,"Gunmen Kill Two, Burn Buildings at Goniri Village in Yobe",8/22/2012,Goniri Village,Damaturu,Yobe,2.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,School,,"sharia court, school, and police station attacked",http://allafrica.com/stories/201208230887.html,http://www.guardiannewsngr.com/index.php?option=com_content&view=article&id=96446:gunmen-kill-two-raze-sharia-court-school-police-station&catid=1:national&Itemid=559,,,,"Damaturu, Yobe, Nigeria"
706,Prominent Yola Bizman Dies in Police Custody,9/13/2012,Yola,Yola,Adamawa,1.0,,State Actor,,,,,,,,,,,,,,,,,1.0,,,,,,,Other,,,Government Building,,,,,,,http://allafrica.com/stories/201210060095.html,http://premiumtimesng.com/news/100836-adamawa-police-accused-of-causing-businessmans-death.html,,,,"Yola, Adamawa, Nigeria"
732,Ondo Election - Descending Into Violence,10/2/2012,Akure,,Ondo,0.0,,,Sectarian Actor,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201210070241.html?viewall=1,,,,,", Ondo, Nigeria"
758,7 Soliders Killed in Maiduguri,10/8/2012,Maiduguri,Maiduguri,Borno,7.0,Boko Haram,,,,,,,,,,7.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201210090221.html,http://allafrica.com/stories/201210090227.html,,,,"Maiduguri, Borno, Nigeria"
760,Hoodlums Chase PDP Members Away From Party Secretariat,10/8/2012,Abeokuta,,Ogun,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://allafrica.com/stories/201210090963.html,http://www.punchng.com/news/confusion-as-gunmen-attack-pdp-supporters-in-ogun/,,,,", Ogun, Nigeria"
765,Police investigate Ogun PDP secretariat invasion,10/9/2012,,,Ogun,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,,,,,,,,,,,,Government Building,,,,,,,http://www.punchng.com/news/police-investigate-ogun-pdp-secretariat-invasion/,,,,,", Ogun, Nigeria"
809,LP thugs scared voters away,10/20/2012,Indanre,,Ondo,0.0,,,Sectarian Actor,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Government Building,,,,,,,http://www.punchng.com/news/lp-thugs-scared-voters-away-acn/,,,,,", Ondo, Nigeria"
812,Gunmen Kill Two Policemen in Jos,10/21/2012,Jos,,Plateau,2.0,,,,Other Armed Actor,,,,,,,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201210230639.html,http://allafrica.com/stories/201210230163.html,,,,", Plateau, Nigeria"
830,Six Die in Rivers Jail-Break Attempt,10/27/2012,Ahoada,Ahoada-East,Rivers,6.0,,State Actor,,,,,,,,,,,,,,,,,6.0,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201210290169.html,http://allafrica.com/stories/201210290236.html,,,,"Ahoada-East, Rivers, Nigeria"
838,Terrorists Torch Police Station,10/30/2012,Chibok,Chibok,Borno,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201211010298.html,,,,,"Chibok, Borno, Nigeria"
844,Deceased’s sister alleges Police complicity,11/1/2012,Makurdi,,Benue,1.0,,State Actor,,,,,,,,,,,,,,,,,1.0,,,,,,,Other,,,Government Building,,,,,,,http://www.vanguardngr.com/2012/11/death-in-detention-deceaseds-sister-alleges-police-complicity/,,,,,", Benue, Nigeria"
848,Assaults of PHCN Staff - Electricity Workers Give Wammako 48 Hours to Apologise,11/2/2012,,,Sokoto,0.0,,State Actor,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201211020444.html,,,,,", Sokoto, Nigeria"
852,"Gunmen Kill Three, Torch Fire Service Station, 20 Houses",11/3/2012,Damboa,Damboa,Borno,5.0,Boko Haram,,,,,,,,,,5.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.ngrguardiannews.com/index.php?option=com_content&view=article&id=103687:gunmen-kill-three-torch-fire-service-station-20-houses-&catid=1:national&Itemid=559,,,,,"Damboa, Borno, Nigeria"
855,"Gunmen Burn Police Station, Killed Two Cops, Destroy GSM Masts, Primary School",11/4/2012,,Fika,Yobe,2.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,School,,,http://allafrica.com/stories/201211040418.html,,,,,"Fika, Yobe, Nigeria"
864,Police foil Kuje prison break,11/5/2012,Abuja,,Federal Capital Territory,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,bombing foiled,http://premiumtimesng.com/news/105983-police-foil-kuje-prison-break.html?utm_source=rss&utm_medium=rss&utm_campaign=police-foil-kuje-prison-break,,,,,", Federal Capital Territory, Nigeria"
866,"Explosions, gunshots rock Gashua",11/6/2012,Gashua,,Yobe,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/explosions-gunshots-rock-gashua/,,,,,", Yobe, Nigeria"
880,"Gunmen Attack Police Station, Churches - Kill Three Cops",11/8/2012,Buni Yadi,Gujba,Yobe,3.0,Boko Haram,,,,,,,,,,3.0,,,,,,,,,,,,Gun,,,Other,,,Government Building,Church,,,School,,,http://allafrica.com/stories/201211100165.html,,,,,"Gujba, Yobe, Nigeria"
883,"Thugs seize Mace, turn Benue Assembly into battle field",11/8/2012,Makurdi,,Benue,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.vanguardngr.com/2012/11/thugs-seize-mace-turn-benue-assembly-into-battle-field/,http://blueprintng.com/2012/11/benue-acn-vows-to-protect-displaced-lawmakers-if/,,,,", Benue, Nigeria"
885,Gunmen Kill Three Policemen in Yobe,11/9/2012,Buni Yadi,Gujba,Yobe,3.0,,,,Other Armed Actor,,,,,,,3.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201211100230.html,http://news.xinhuanet.com/english/world/2012-11/09/c_131963469.htm,,,,"Gujba, Yobe, Nigeria"
890,Gunmen Kill Policeman in North Nigeria Raid,11/10/2012,Itas,,Bauchi,1.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.naharnet.com/stories/en/60318-gunmen-kill-policeman-in-north-nigeria-raid,http://www.africareview.com/News/Gunmen-burn-police-station-in-northern-Nigeria/-/979180/1618260/-/kb9b9yz/-/index.html,,,,", Bauchi, Nigeria"
895,Violence Mars Hearing in Jigawa,11/11/2012,Guri,,Jigawa,0.0,,State Actor,,,,,,,,,,,,0.0,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://allafrica.com/stories/201211120372.html,,,,,", Jigawa, Nigeria"
898,Police Kill One in 'Self-Defence' in Ebonyi,11/12/2012,Ishiagu,Ivo,Ebonyi,1.0,,State Actor,,,,Robber,,,,,,,,,,,1.0,,,,,,Gun,Machete,,,,,Government Building,,,,,,,http://allafrica.com/stories/201211130791.html,,,,,"Ivo, Ebonyi, Nigeria"
926,"Police shoot detained, unarmed man after he scaled court fence to escape",11/19/2012,Abeokuta,,Ogun,,,State Actor,,,,,,,,,,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,,http://premiumtimesng.com/regional/107685-police-shoot-detained-unarmed-man-after-he-scaled-court-fence-to-escape.html?utm_source=rss&utm_medium=rss&utm_campaign=police-shoot-detained-unarmed-man-after-he-scaled-court-fence-to-escape,,,,,", Ogun, Nigeria"
951,Church Bombing Death Toll Now 30,11/25/2012,Jaji,,Kaduna,30.0,Boko Haram,,,,,,,,,,,30.0,,,,,,,,,,Bomb,,,,,,,Government Building,Church,,,,,,http://www.npr.org/blogs/thetwo-way/2012/11/26/165922467/in-nigeria-church-bombing-death-toll-now-30-gunmen-attack-police-station,http://allafrica.com/stories/201211270497.html,,,,", Kaduna, Nigeria"
952,Gunmen Attack Police Station In Sokoto,11/25/2012,,Isa,Sokoto,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://saharareporters.com/news-page/gunmen-attack-police-station-sokoto,http://thenationonlineng.net/new/news/gunmen-hit-sokoto-police-station/,,,,"Isa, Sokoto, Nigeria"
955,Armed Robbers Raid Three Banks In Early Evening Attack In Edo State,11/26/2012,Auchi,,Edo,15.0,,,,,,Robber,,,,,5.0,,,,,,,,10.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://saharareporters.com/news-page/armed-robbers-raid-three-banks-early-evening-attack-edo-state,http://premiumtimesng.com/regional/108740-breaking-news-robbers-invade-auchi-edo-state.html?utm_source=rss&utm_medium=rss&utm_campaign=breaking-news-robbers-invade-auchi-edo-state,http://allafrica.com/stories/201211280566.html,,,", Edo, Nigeria"
959,Nigeria gunmen attack Abuja Sars police HQ,11/26/2012,Abuja,,Federal Capital Territory,2.0,,,,Other Armed Actor,,,,,,,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.bbc.co.uk/news/world-africa-20493739,http://allafrica.com/stories/201211270435.html,,,,", Federal Capital Territory, Nigeria"
964,"Gunmen kill 5 policemen in Borno, destroy telecom masts",11/27/2012,Rann,Kala Balge,Borno,5.0,Boko Haram,,,,,,,,,,5.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://news.xinhuanet.com/english/world/2012-11/28/c_132005007.htm,http://allafrica.com/stories/201211280566.html,,,,"Kala Balge, Borno, Nigeria"
968,My Children Died in JTF Custody in Maiduguri,11/28/2012,Maiduguri,Maiduguri,Borno,2.0,,State Actor,,,,,,,,,,,,,,,,,2.0,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201211290801.html,,,,,"Maiduguri, Borno, Nigeria"
991,11 Killed in Maiduguri,12/4/2012,Maiduguri,Maiduguri,Borno,11.0,Boko Haram,State Actor,,,,,,,,2.0,1.0,,,,,,,,8.0,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201212040390.html,no other sources,,,,"Maiduguri, Borno, Nigeria"
992,"2 policemen shot, bus attacked in northern Nigeria",12/4/2012,Kano,,Kano,2.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,0.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.africareview.com/News/Policemen-shot--bus-attacked-in-northern-Nigeria/-/979180/1637128/-/14hxs44/-/index.html,http://www.punchng.com/news/two-policemen-feared-dead-three-civilians-injured-in-kano-bomb-attacks/,,,,", Kano, Nigeria"
1007,"DPO, 13 Others Killed As Gunmen Attack Yobe",12/10/2012,Potiskum,,Yobe,15.0,Boko Haram,State Actor,,,,,,,,14.0,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201212110327.html,http://premiumtimesng.com/news/110570-police-dpo-three-others-killed-in-potiskum-palace-attack.html?utm_source=rss&utm_medium=rss&utm_campaign=police-dpo-three-others-killed-in-potiskum-palace-attack,http://allafrica.com/stories/201212110587.html,,,", Yobe, Nigeria"
1013,Gunmen burn police station in Adamawa,12/12/2012,Madagali,,Adamawa,1.0,,,,Other Armed Actor,,,,,,,,,,,,,,,1.0,,,,,,,Other,,,Government Building,,,,,,,http://www.punchng.com/news/gunmen-burn-police-station-in-adamawa/,http://www.championonlinenews.com/index.php/champion-mainnews/latest-news/item/318-gunmen-burn-police-station-in-adamawa,,,,", Adamawa, Nigeria"
1026,Nigerian Gunmen Seize Frenchman,12/19/2012,Rimi,,Katsina,2.0,Boko Haram,,,,,,,,,,,,,,,,,,2.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201212210428.html,http://blueprintng.com/2012/12/gunmen-kill-3-abduct-frenchman/,,,,", Katsina, Nigeria"
1051,30 Feared Dead in Adamawa,12/28/2012,,Maiha,Adamawa,30.0,Boko Haram,,,,,,,,,,30.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/30-feared-dead-as-gunmen-storm-adamawa-town/,http://allafrica.com/stories/201212310129.html,,,,"Maiha, Adamawa, Nigeria"
1052,"Boko Haram Kill Two, Free Inmates",12/28/2012,Maiha,,Adamawa,0.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://edition.cnn.com/2012/12/30/world/africa/nigeria-violence/index.html,,,,,", Adamawa, Nigeria"
1063,Police Confirm Attack Station in Hong,12/30/2012,,Hong,Adamawa,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201212311780.html,http://newsandmuse234.blogspot.com/2012/12/gunmen-attack-police-station-in-hong.html,,,,"Hong, Adamawa, Nigeria"
1077,4 Killed in Adamawa,1/3/2013,Song,Song,Adamawa,4.0,,,,Other Armed Actor,,,,,,,2.0,,,,,,,,2.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201301040139.html,http://allafrica.com/stories/201301030892.html,,,,"Song, Adamawa, Nigeria"
1091,"Policewoman, daughter Killed by gunmen",1/7/2013,Maiduguri,Maiduguri,Borno,2.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201301080131.html,http://allafrica.com/stories/201301090480.html,,,,"Maiduguri, Borno, Nigeria"
1142,7-month-old baby killed by gunmen during attack on police officers buried in Kaduna,1/18/2013,Kawo New Extension,,Kaduna,3.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,,http://premiumtimesng.com/news/116199-7-month-old-baby-killed-by-gunmen-during-attack-on-police-officers-buried-in-kaduna.html?utm_source=rss&utm_medium=rss&utm_campaign=7-month-old-baby-killed-by-gunmen-during-attack-on-police-officers-buried-in-kaduna,http://allafrica.com/stories/201301211576.html,,,,", Kaduna, Nigeria"
1149,"Three Feared Dead As Hoodlums, Police Clash",1/21/2013,Ikotun,,Lagos,3.0,,State Actor,,,,,,,,,,,3.0,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201301220204.html,,,,,", Lagos, Nigeria"
1168,"Armed Bandits Invade Birnin Gwari Again, Kill Three Cops, Villager",1/30/2013,Birnin Gwari,Kaduna,Kaduna,4.0,,,,,,Robber,,,,,3.0,,,,,,,,1.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201302010346.html?viewall=1,http://saharareporters.com/news-page/breaking-news-gunmen-invade-birnin-gwari-township-kaduna-state-bomb-police-station-and-ban,,,,"Kaduna, Kaduna, Nigeria"
1170,"Gunmen attack police station, kill two",1/30/2013,Bunkure,,Kano,2.0,Boko Haram,,,,,,,,,,1.0,,,,,,,,1.0,,,Bomb,,,,,,,Government Building,,,,,,,http://www.iol.co.za/news/africa/gunmen-attack-police-station-kill-two-1.1462011#.UTSRGHw__ek,http://tvnz.co.nz/world-news/gunmen-kill-five-north-nigeria-police-ceasefire-in-doubt-5330950?ref=rss,,,,", Kano, Nigeria"
1189,"2 Police, 8 Civilians Killed by Boko Haram",2/4/2013,,Gwoza,Borno,10.0,Boko Haram,,,,,,,,,,2.0,,,,,,,,8.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://www.naijahidi.org/reports/view/850,http://news.yahoo.com/gunmen-kill-eight-attacks-nigerian-bank-police-station-051238619.html,,,,"Gwoza, Borno, Nigeria"
1198,"3 Police Dead, One Villager",2/9/2013,Birnin Gwari,,Kaduna,4.0,,,,,,Robber,,,,,3.0,,,,,,,,1.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201302010404.html?viewall=1,,,,,", Kaduna, Nigeria"
